aircraft_id,timestamp,latitude,longitude,altitude,velocity,heading
a70362,1783103277.3,40.004929,-82.805237,396.2,21.5,224.0
a1dfe8,1783103277.5,40.324293,-82.782919,2385.1,75.4,46.9
a24526,1783103277.2,40.851654,-82.615173,10050.8,239.8,82.4
a4795a,1783103277.5,40.773468,-82.422729,9144.0,233.8,342.3
a825a6,1783103277.1,40.499423,-82.376737,6728.5,204.9,205.0
a32800,1783103277.4,39.252594,-82.303002,4495.8,183.6,351.6
a68caa,1783103277.5,39.470711,-81.929565,10363.2,244.2,297.5
aa79f6,1783103277.4,40.070023,-81.925964,9951.7,253.5,352.1
a3f133,1783103277.3,39.704730,-81.870911,10050.8,253.1,0.1
a92ea0,1783103277.5,39.591751,-81.814947,7924.8,198.9,343.2
a46ed7,1783103270.7,39.928134,-81.718681,2232.7,91.1,63.1
a87876,1783103287.1,39.881699,-84.173902,8275.3,251.1,33.3
~28eaaa,1783103285.4,39.462296,-84.092998,944.9,19.4,248.2
a412e2,1783103280.3,39.461717,-84.088446,929.6,0.0,0.0
a1ba59,1783103287.4,39.541626,-83.981940,4671.1,184.6,227.4
a2b691,1783103287.1,40.478714,-83.919250,8839.2,242.7,58.0
a03b67,1783103287.5,40.038602,-83.857207,9090.7,242.3,180.5
a9fc34,1783103287.1,40.411240,-83.839111,9448.8,234.1,59.5
a081f4,1783103287.4,39.639743,-83.699768,1920.2,58.3,217.5
a96b65,1783103287.5,40.089577,-83.550713,7856.2,232.0,40.7
acb16b,1783103287.5,40.698349,-83.386597,13716.0,234.6,89.8
a17b16,1783103287.2,40.528425,-83.341911,11277.6,235.1,49.8
aac2a4,1783103287.5,40.291334,-83.203083,1021.1,36.8,290.5
a709e8,1783103285.6,39.752446,-83.081238,838.2,45.9,176.1
a03273,1783103287.2,40.265213,-83.025024,14325.6,228.6,235.9
a5f6ef,1783103287.1,40.220854,-83.020623,731.5,36.8,257.9
aadcf7,1783103287.2,40.624090,-82.913943,746.8,41.1,157.9
ab5db8,1783103287.5,39.615116,-82.912292,11582.4,236.0,310.7
440d41,1783103287.1,39.246323,-82.902056,13106.4,231.1,167.1
aaa929,1783103287.3,40.959359,-82.866877,11887.2,232.9,52.5
a5ee51,1783103287.5,39.988907,-82.824036,411.5,71.8,275.3
a70362,1783103287.3,40.002431,-82.806951,342.9,39.5,198.2
a1dfe8,1783103287.2,40.328809,-82.776552,2385.1,75.3,46.4
a24526,1783103287.2,40.854477,-82.587162,10050.8,240.2,82.5
a4795a,1783103287.5,40.793400,-82.431107,9144.0,234.3,342.4
a825a6,1783103287.3,40.482239,-82.387207,6804.7,204.9,205.0
a32800,1783103287.3,39.268954,-82.306091,4419.6,183.0,351.6
a68caa,1783103287.3,39.480743,-81.954425,10363.2,243.9,297.4
aa79f6,1783103287.3,40.092361,-81.929993,9898.4,252.9,352.2
a3f133,1783103287.3,39.727341,-81.871729,10020.3,251.8,357.5
a92ea0,1783103287.3,39.608366,-81.821472,7924.8,199.9,343.2
a46ed7,1783103284.5,39.933208,-81.705634,2232.7,90.6,63.0
a87876,1783103297.5,39.901382,-84.157184,8366.8,252.3,33.3
a412e2,1783103295.0,39.461553,-84.095826,891.5,36.0,266.0
~28eaaa,1783103297.0,39.461700,-84.095685,944.9,20.7,251.1
a1ba59,1783103297.3,39.530531,-83.997437,4594.9,184.2,227.3
a2b691,1783103297.4,40.490438,-83.894723,8839.2,243.1,58.1
a03b67,1783103297.2,40.017514,-83.857394,9151.6,241.8,180.4
a9fc34,1783103297.4,40.422363,-83.814392,9448.8,234.1,59.5
a081f4,1783103297.5,39.635739,-83.704102,1920.2,56.0,223.5
a96b65,1783103297.3,40.104939,-83.533547,7802.9,230.6,40.7
acb16b,1783103297.5,40.698480,-83.358078,13723.6,234.6,89.5
a17b16,1783103297.5,40.542709,-83.319763,11277.6,235.4,49.7
aac2a4,1783103297.3,40.292452,-83.207078,1036.3,37.6,289.2
a709e8,1783103297.1,39.747837,-83.081177,838.2,44.8,180.7
a03273,1783103297.5,40.253348,-83.047902,14325.6,228.9,235.8
a5f6ef,1783103297.3,40.220078,-83.024902,762.0,36.2,255.2
ab5db8,1783103297.4,39.628849,-82.932861,11582.4,236.0,310.9
440d41,1783103297.5,39.225102,-82.895813,13098.8,230.6,167.1
aaa929,1783103297.4,40.972347,-82.844530,11887.2,232.9,52.5
a5ee51,1783103297.5,39.989490,-82.832607,388.6,73.8,274.4
a70362,1783103297.1,39.999115,-82.806152,358.1,36.7,148.8
a1dfe8,1783103297.5,40.333604,-82.769997,2385.1,75.4,46.9
a24526,1783103297.5,40.857422,-82.557983,10050.8,240.2,82.5
a4795a,1783103297.5,40.813980,-82.439758,9144.0,234.9,342.3
a825a6,1783103297.2,40.465765,-82.397274,6873.2,206.0,205.0
a32800,1783103297.5,39.285387,-82.309265,4335.8,182.6,351.4
a1a5cf,1783103297.5,40.746150,-82.140219,4305.3,173.4,233.0
a68caa,1783103297.4,39.490814,-81.979563,10363.2,243.9,297.4
aa79f6,1783103297.5,40.115570,-81.934143,9845.0,252.4,352.1
a3f133,1783103297.4,39.750164,-81.873779,9997.4,250.5,354.8
a92ea0,1783103297.5,39.626221,-81.828381,7924.8,202.0,343.3
a12731,1783103307.2,39.779663,-84.261554,10668.0,232.4,83.8
a87876,1783103307.3,39.919801,-84.141357,8481.1,251.8,33.8
a1ba59,1783103307.5,39.519104,-84.013466,4518.7,183.1,227.4
a2b691,1783103307.2,40.502030,-83.870440,8839.2,243.1,58.1
a03b67,1783103307.1,39.996140,-83.857605,9212.6,241.3,180.5
a9fc34,1783103307.2,40.432663,-83.791626,9448.8,234.5,59.5
a081f4,1783103307.0,39.632446,-83.708476,1950.7,56.4,226.1
a96b65,1783103307.2,40.120534,-83.516069,7741.9,230.2,40.7
a21bf6,1783103299.7,39.984055,-83.351135,487.7,48.2,72.0
acb16b,1783103307.5,40.699585,-83.331299,13716.0,234.4,85.2
a17b16,1783103307.2,40.555710,-83.299622,11277.6,235.5,49.9
aac2a4,1783103307.1,40.293662,-83.210886,1074.4,34.8,293.5
a709e8,1783103307.4,39.743926,-83.081299,838.2,45.3,181.3
a03273,1783103307.1,40.242371,-83.068970,14325.6,229.6,235.8
a5f6ef,1783103307.2,40.219178,-83.028863,792.5,36.4,251.1
ab5db8,1783103307.1,39.642303,-82.953003,11582.4,236.0,310.9
aadcf7,1783103304.9,40.618224,-82.910697,739.1,41.1,157.9
440d41,1783103307.4,39.205690,-82.890076,13106.4,230.6,167.1
a5ee51,1783103307.4,39.989862,-82.841159,350.5,76.3,273.5
aaa929,1783103307.1,40.984497,-82.823608,11887.2,232.9,52.5
a70362,1783103307.5,39.996368,-82.804443,426.7,31.9,165.1
a1dfe8,1783103307.5,40.338212,-82.763568,2385.1,74.6,47.0
a24526,1783103307.1,40.860168,-82.530884,10050.8,240.2,82.5
a4795a,1783103307.5,40.833527,-82.447937,9144.0,235.4,342.3
a825a6,1783103307.3,40.448822,-82.407593,6934.2,207.1,205.0
a32800,1783103306.8,39.300476,-82.312197,4259.6,182.1,351.4
a1a5cf,1783103307.3,40.737072,-82.156074,4236.7,172.6,233.0
a68caa,1783103307.4,39.500784,-82.004456,10355.6,243.9,297.4
aa79f6,1783103307.5,40.137589,-81.938049,9799.3,252.4,352.1
a3f133,1783103307.4,39.772659,-81.877103,9974.6,250.5,352.7
a92ea0,1783103307.1,39.643281,-81.835083,7932.4,205.9,343.1
a12731,1783103317.3,39.781952,-84.234447,10668.0,232.4,83.8
a87876,1783103317.5,39.939120,-84.124562,8633.5,250.1,33.6
a1ba59,1783103317.5,39.507980,-84.029050,4450.1,182.0,227.3
a03b67,1783103317.4,39.973801,-83.857788,9273.5,240.8,180.4
a2b691,1783103317.5,40.513824,-83.845581,8839.2,243.1,58.1
a9fc34,1783103317.4,40.443787,-83.766846,9448.8,234.5,59.5
a081f4,1783103317.2,39.628896,-83.713318,1920.2,56.1,228.0
a96b65,1783103317.4,40.136536,-83.498230,7681.0,229.9,40.6
a21bf6,1783103317.4,39.987069,-83.341661,464.8,48.2,72.0
acb16b,1783103317.5,40.702623,-83.303583,13716.0,234.6,79.9
a17b16,1783103317.2,40.569251,-83.278552,11277.6,235.5,49.9
aac2a4,1783103317.4,40.294872,-83.215068,1082.0,38.4,290.4
a03273,1783103317.5,40.230444,-83.091909,14325.6,229.6,235.8
a709e8,1783103312.3,39.741714,-83.081300,845.8,45.8,181.3
a5f6ef,1783103317.2,40.217921,-83.033170,792.5,40.7,249.3
ab5db8,1783103317.5,39.656734,-82.974609,11582.4,236.0,310.9
aadcf7,1783103317.4,40.614221,-82.908450,723.9,39.2,156.8
440d41,1783103317.4,39.185486,-82.884155,13106.4,230.1,167.1
a5ee51,1783103317.5,39.990281,-82.850085,312.4,75.8,273.5
a70362,1783103317.5,39.993210,-82.804504,442.0,38.3,194.8
a1dfe8,1783103317.4,40.342758,-82.757263,2385.1,73.9,46.4
a24526,1783103317.4,40.863042,-82.501956,10058.4,240.7,82.6
a4795a,1783103317.1,40.852987,-82.456138,9144.0,235.4,342.3
a825a6,1783103317.3,40.431839,-82.417908,7002.8,207.6,204.9
a32800,1783103317.2,39.317459,-82.315481,4175.8,181.6,351.4
a1a5cf,1783103317.4,40.727761,-82.172304,4168.1,172.6,233.0
a68caa,1783103317.4,39.510956,-82.029777,10363.2,243.4,297.4
aa79f6,1783103317.4,40.160057,-81.942090,9746.0,252.4,352.1
a3f133,1783103317.4,39.794769,-81.880924,9944.1,250.8,352.2
a92ea0,1783103317.2,39.661377,-81.842174,7924.8,209.6,343.2
a12731,1783103327.4,39.784241,-84.207153,10668.0,232.3,83.9
a87876,1783103327.4,39.957322,-84.108519,8778.2,248.7,35.4
a1ba59,1783103327.1,39.497314,-84.043917,4381.5,180.6,227.3
a03b67,1783103327.5,39.951920,-83.857971,9319.3,241.3,180.4
a2b691,1783103327.1,40.524948,-83.822205,8839.2,243.5,58.1
a9fc34,1783103327.3,40.454314,-83.743411,9448.8,234.9,59.6
a081f4,1783103327.2,39.625580,-83.718328,1920.2,55.6,231.0
a96b65,1783103327.3,40.151962,-83.480896,7627.6,229.4,40.7
a4ce45,1783103321.8,39.920242,-83.442953,571.5,0.0,0.0
a21bf6,1783103327.1,39.989024,-83.336542,472.4,48.2,72.0
acb16b,1783103327.5,40.707511,-83.276617,13716.0,234.5,74.9
a17b16,1783103327.5,40.583405,-83.256592,11277.6,235.1,49.8
aac2a4,1783103327.2,40.296066,-83.219116,1120.1,37.1,291.9
a03273,1783103327.3,40.218979,-83.113953,14325.6,229.6,235.8
a709e8,1783103327.4,39.735672,-83.081957,861.1,43.5,186.8
a5f6ef,1783103327.2,40.216711,-83.037539,823.0,39.4,250.1
ab5db8,1783103327.2,39.670188,-82.994751,11582.4,236.0,310.9
aadcf7,1783103322.2,40.612638,-82.907576,716.3,39.5,157.8
440d41,1783103327.4,39.165161,-82.878173,13106.4,230.1,167.1
a5ee51,1783103327.2,39.990875,-82.858521,274.3,73.8,274.8
a70362,1783103327.3,39.989676,-82.804829,434.3,44.4,163.9
a1dfe8,1783103327.3,40.347290,-82.751021,2385.1,73.5,46.1
a24526,1783103327.4,40.865835,-82.473741,10058.4,240.2,82.5
a4795a,1783103327.4,40.873982,-82.464939,9113.5,234.9,342.3
a825a6,1783103327.3,40.414884,-82.428235,7063.7,208.8,204.9
a32800,1783103327.5,39.333708,-82.318665,4099.6,181.1,351.3
a1a5cf,1783103327.4,40.718404,-82.188658,4099.6,172.6,233.0
a68caa,1783103327.5,39.521027,-82.054855,10363.2,243.2,297.3
aa79f6,1783103327.2,40.182083,-81.946045,9700.3,251.9,352.1
a3f133,1783103327.4,39.817154,-81.884805,9906.0,250.7,352.3
a92ea0,1783103327.5,39.680150,-81.849487,7924.8,213.1,343.4
a12731,1783103337.2,39.786429,-84.180603,10668.0,232.8,83.9
ab3748,1783103337.3,39.503438,-84.129089,1188.7,48.8,7.9
a87876,1783103337.3,39.974991,-84.091064,8915.4,247.4,38.6
a1ba59,1783103337.5,39.485962,-84.059860,4305.3,178.7,227.2
a03b67,1783103337.3,39.930405,-83.858215,9349.7,242.3,180.4
a2b691,1783103337.4,40.536804,-83.797219,8839.2,243.5,58.1
a081f4,1783103337.1,39.622425,-83.723083,1920.2,55.4,227.3
a9fc34,1783103337.0,40.464752,-83.720154,9448.8,234.9,59.6
a96b65,1783103337.3,40.167692,-83.463260,7566.7,229.8,40.8
a21bf6,1783103332.7,39.990234,-83.333733,480.1,48.2,72.0
acb16b,1783103337.5,40.713593,-83.249817,13716.0,234.6,72.9
a17b16,1783103337.3,40.596634,-83.236023,11277.6,235.5,49.9
aac2a4,1783103337.3,40.297200,-83.223308,1143.0,38.1,286.5
a03273,1783103337.2,40.207494,-83.136042,14325.6,230.0,235.8
a709e8,1783103334.9,39.732742,-83.082196,868.7,43.3,182.7
a5f6ef,1783103337.4,40.215408,-83.042114,792.5,42.5,248.7
ab5db8,1783103337.3,39.684128,-83.015681,11582.4,236.4,310.8
aadcf7,1783103335.7,40.608215,-82.905212,693.4,39.6,159.4
440d41,1783103337.5,39.144562,-82.872142,13106.4,230.1,167.1
a5ee51,1783103334.8,39.991196,-82.865051,243.8,73.7,273.6
a70362,1783103337.2,39.987625,-82.806702,426.7,31.4,269.1
a1dfe8,1783103337.3,40.351852,-82.744841,2385.1,73.2,46.4
a4795a,1783103337.5,40.893951,-82.473328,9060.2,234.4,342.2
a24526,1783103337.4,40.868675,-82.445526,10058.4,240.2,82.5
a825a6,1783103337.5,40.397473,-82.438847,7101.8,210.4,204.9
a32800,1783103337.1,39.349457,-82.321691,4015.7,180.0,351.4
a1a5cf,1783103337.4,40.708878,-82.205139,4031.0,172.2,232.9
a68caa,1783103337.4,39.531052,-82.079932,10363.2,243.0,297.2
aa79f6,1783103337.5,40.205200,-81.950256,9646.9,251.9,352.1
a3f133,1783103337.3,39.839312,-81.888672,9867.9,249.6,352.4
a92ea0,1783103337.4,39.698273,-81.855727,7924.8,216.2,346.1
a12731,1783103347.5,39.788710,-84.152832,10668.0,232.8,83.9
ab3748,1783103347.3,39.506927,-84.125360,1066.8,59.2,79.0
a1ba59,1783103347.2,39.475227,-84.074646,4236.7,178.0,227.0
a87876,1783103347.0,39.991470,-84.072998,9022.1,246.7,41.5
a03b67,1783103347.4,39.908442,-83.858398,9380.2,243.3,180.4
a2b691,1783103347.3,40.548303,-83.772999,8839.2,243.9,58.2
a081f4,1783103347.5,39.618794,-83.728088,1920.2,55.7,226.9
a9fc34,1783103347.5,40.475922,-83.695251,9448.8,234.9,59.6
a96b65,1783103347.2,40.183090,-83.445923,7505.7,229.8,40.8
a4ce45,1783103342.4,39.922623,-83.431396,518.2,46.5,32.8
a21bf6,1783103340.6,39.991957,-83.329738,487.7,49.7,62.9
aac2a4,1783103347.3,40.298131,-83.227678,1158.2,38.8,284.6
acb16b,1783103347.2,40.719589,-83.224365,13716.0,234.9,72.7
a17b16,1783103347.2,40.610275,-83.214783,11277.6,235.6,50.0
a03273,1783103347.2,40.195902,-83.158327,14325.6,230.0,235.8
a709e8,1783103343.0,39.729675,-83.082494,876.3,43.8,183.4
a5f6ef,1783103347.3,40.214035,-83.046692,792.5,40.2,249.0
ab5db8,1783103347.1,39.697861,-83.036280,11582.4,236.4,310.8
440d41,1783103347.5,39.124420,-82.866231,13106.4,230.1,167.1
a70362,1783103347.5,39.989443,-82.809074,388.6,32.4,20.4
a1dfe8,1783103347.2,40.356400,-82.738708,2385.1,73.5,45.6
a4795a,1783103347.5,40.914296,-82.481918,9014.5,233.8,342.3
a825a6,1783103347.1,40.380844,-82.448914,7147.6,212.0,204.8
a24526,1783103347.5,40.871515,-82.416999,10058.4,240.2,82.5
a32800,1783103347.4,39.365936,-82.324856,3939.5,179.4,351.6
a1a5cf,1783103347.5,40.699644,-82.221243,3954.8,172.6,233.0
a68caa,1783103347.4,39.540912,-82.104797,10363.2,243.4,297.2
aa79f6,1783103347.4,40.227356,-81.954224,9593.6,251.4,352.1
a3f133,1783103347.2,39.861191,-81.892388,9837.4,248.5,352.5
a92ea0,1783103347.2,39.717407,-81.861161,7932.4,219.4,348.6
a12731,1783103357.2,39.790851,-84.126892,10668.0,232.8,83.9
ab3748,1783103357.2,39.503860,-84.119986,944.9,63.8,160.7
a1ba59,1783103357.5,39.464127,-84.090072,4152.9,176.9,226.9
a87876,1783103357.4,40.008362,-84.052673,9098.3,246.0,43.8
a03b67,1783103357.4,39.886642,-83.858583,9425.9,243.3,180.4
a2b691,1783103357.4,40.560104,-83.748108,8839.2,244.3,58.1
a081f4,1783103357.4,39.615442,-83.732788,1920.2,55.8,228.4
a9fc34,1783103357.1,40.486176,-83.672363,9448.8,235.2,59.5
a96b65,1783103357.4,40.199112,-83.427673,7444.7,230.0,41.6
aac2a4,1783103357.3,40.298996,-83.231873,1196.3,36.5,286.4
acb16b,1783103357.5,40.726132,-83.197091,13716.0,235.1,72.6
a17b16,1783103357.3,40.624008,-83.193237,11277.6,235.9,50.0
a03273,1783103357.4,40.183914,-83.181274,14325.6,230.3,235.7
ab5db8,1783103357.1,39.711731,-83.057059,11582.4,236.4,310.8
a5f6ef,1783103357.5,40.212614,-83.051085,792.5,40.3,246.7
440d41,1783103357.2,39.105103,-82.860559,13106.4,230.1,167.1
a70362,1783103357.0,39.990374,-82.806140,381.0,31.3,99.5
a1dfe8,1783103357.3,40.361023,-82.732422,2385.1,74.6,46.4
a825a6,1783103357.3,40.363211,-82.459571,7208.5,212.7,204.9
a24526,1783103357.1,40.874261,-82.389658,10058.4,240.2,82.6
a32800,1783103357.5,39.382076,-82.327942,3855.7,178.9,351.6
a1a5cf,1783103357.5,40.690201,-82.237732,3886.2,171.9,233.0
a68caa,1783103357.5,39.551010,-82.130207,10355.6,243.4,297.2
aa79f6,1783103357.3,40.249484,-81.958258,9547.9,250.9,352.0
a3f133,1783103357.2,39.883575,-81.896269,9806.9,248.1,352.4
a92ea0,1783103357.3,39.737176,-81.865662,7924.8,221.4,350.9
